Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN231LZ, Y52Q37, Godinton, On or near Sports/Recreation Area
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233HW, Y52Q37, Godinton, On or near Chart Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN231EP, Y52Q37, Godinton, On or near Bridge Road
Theft from the person: England, Kent, Ashford, Ashford District, South East, TN233LG, Y52Q37, Godinton, On or near Lockholt Close
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN233JP, Y52Q37, Godinton, On or near Juniper Close
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN233JP, Y52Q37, Godinton, On or near Juniper Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233LG, Y52Q37, Godinton, On or near The Spinney
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248RH, Y52Q37, Stour, On or near Copperwood
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Burglary: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Burglary: England, Kent, Ashford, Ashford District, South East, TN248HF, Y52Q37, Stour, On or near Queens Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN248HF, Y52Q37, Stour, On or near Queens Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN248RH, Y52Q37, Stour, On or near Copperwood
Other theft: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Public order: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN248QB, Y52Q37, Stour, On or near Nutley Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN248HB, Y52Q37, Stour, On or near Wellesley Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Petrol Station
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248QR, Y52Q37, Stour, On or near Pennine Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248HS, Y52Q37, Stour, On or near The Weald
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248QR, Y52Q37, Stour, On or near Pennine Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248RR, Y52Q37, Stour, On or near Belmore Park
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN248QR, Y52Q37, Stour, On or near Pennine Way
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN248UX, Y52Q37, Stour, On or near Supermarket
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN233FE, Y52Q37, Godinton, On or near Ordinance Way
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN254LU, Y52Q37, Godinton, On or near Barley Mow View
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN254LU, Y52Q37, Godinton, On or near Barley Mow View
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN233FE, Y52Q37, Godinton, On or near Ordinance Way
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254GA, Y52Q37, Godinton, On or near Wyndy Lane
Other theft: England, Kent, Ashford, Ashford District, South East, TN233FE, Y52Q37, Godinton, On or near Ordinance Way
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN233FD, Y52Q37, Godinton, On or near Supermarket
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN233FD, Y52Q37, Godinton, On or near Supermarket
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN233FB, Y52Q37, Godinton, On or near Lancaster Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN254LU, Y52Q37, Godinton, On or near Barley Mow View
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233FE, Y52Q37, Godinton, On or near Ordinance Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233FD, Y52Q37, Godinton, On or near Sir Bernard Paget Avenue
