Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN233LZ, Y52Q37, Godinton, On or near Heartwood Drive
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN233PQ, Y52Q37, Godinton, On or near Sweet Bay Crescent
Public order: England, Kent, Ashford, Ashford District, South East, TN233LZ, Y52Q37, Godinton, On or near Heartwood Drive
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233FJ, Y52Q37, Godinton, On or near Leslie Gilbert Lane
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233FJ, Y52Q37, Godinton, On or near Leslie Gilbert Lane
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233JJ, Y52Q37, Godinton, On or near Loudon Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233LZ, Y52Q37, Godinton, On or near Heartwood Drive
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233JJ, Y52Q37, Godinton, On or near Loudon Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233LZ, Y52Q37, Godinton, On or near Heartwood Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN240PG, Y52Q37, Aylesford Green, On or near Maunsell Place
